,match,profit
0,1,-190.94332595791434
1,11,-445.6252960117563
2,12,0.7353073600481821
3,19,-191.6197118150517
4,23,0.38127612048583615
5,34,0.12854350228860767
6,42,-0.18048842011330635
7,46,-0.22471288947258472
8,71,-0.5434480114664666
9,74,-0.7189458437686653
10,83,-0.7464695102185033
11,99,-0.8591688042931764
12,117,-0.9350945202605772
13,120,-1.1031146349689607
14,126,-1643.2534202501502
15,139,-193.64741649267057
16,147,-1.447500413543139
17,148,-1.5130247824624803
18,150,-1.6178223731767503
19,161,-1.7695026609801516
20,169,-1.7771559169174225
21,175,-1.986196176635417
22,181,-2.0478475621073358
23,192,-733.2053043833139
24,199,-2.434712849465768
25,204,-2.4589286940822603
26,211,-2.481312251764166
27,241,-2.607027068183811
28,242,-449.7823157231942
29,243,-195.2918271871331
30,251,-734.1234351704175
31,257,-2.9957863846339023
32,259,-450.4409577259512
33,270,-195.91774147104888
34,295,-3.336198149961092
35,305,-1337.5045092002747
36,309,-1032.8781495364765
37,312,-196.52092836608267
38,313,-196.74972307580242
39,315,-3.7804864521025365
40,316,-3.80136905530685
41,317,-3.9049737084227445
42,320,-452.1255377410712
43,324,-736.6209719656144
44,326,-736.9095711526261
45,329,-452.9025265628775
46,330,-4.335921751374485
47,334,-4.354688621449441
48,341,-4.355673670374927
49,353,-4.373440771604123
50,355,-3531.0422199528366
51,359,-4.643368019045283
52,366,-1341.1863220636187
53,367,-4.950151413973572
54,375,-5.050977713827706
55,376,-5.370808532547926
56,384,-2588.5941881670315
57,390,-5.431804635151934
58,402,-455.0858712559798
59,403,-5.472860536657322
60,404,-1037.7772641068323
61,413,-5.583957768831169
62,418,-5.677594894410845
63,430,-5.693623321153723
64,432,-199.71904859196252
65,443,-199.74257296569976
66,449,-200.03253420780015
67,451,-6.042156515702118
68,452,-6.07328962294946
69,467,-6.079182666660017
70,480,-6.173073092891855
71,496,-200.25302809537789
72,507,-6.262682497543892
73,510,-200.42061916689772
74,513,-6.470252152783132
75,515,-6.484318238500919
76,518,-6.5486450961743685
77,537,-6.818838476952237
78,545,-1344.593585670027
79,555,-457.27570805130654
80,556,-6.987692485705111
81,558,-742.5082012888447
82,572,-1966.515005705447
83,573,-7.761198558108276
84,578,-7.810524996579261
85,588,-8.22805708891417
86,593,-8.261746790561006
87,595,-8.325909520554887
88,614,-8.499650845829592
89,633,-202.9624081950301
90,643,-8.597899607849968
91,645,-8.614953483145086
92,651,-8.721597270468237
93,653,-8.763594803553701
94,656,-8.834428389856726
95,657,-8.901610891769451
96,658,-203.3892072420963
97,666,-8.961190701610803
98,676,-9.087800771923753
99,697,-9.143290861168452
100,720,-9.325451453229903
101,721,-460.3393151991986
102,724,-745.0141798506374
103,737,-204.3566446997911
104,743,-1348.913055479873
105,746,-10.134574009405355
106,752,-1349.6297272074353
107,758,-10.520820106743258
108,763,-10.534806100630703
109,779,-10.556832920590523
110,783,-205.6096979643096
111,788,-462.13944625626755
112,793,-11.009530517083704
113,805,-11.125863275517986
114,817,-11.137800184790649
115,823,-11.18155446963874
116,826,-11.225351901498925
117,830,-11.238434009472144
118,835,-11.324958299603736
119,837,-11.39391038395479
120,842,-11.462955156491148
121,845,-11.638240941566892
122,870,-1351.107352548569
123,875,-11.785987329120303
124,879,-747.7901667836841
125,883,-206.77878423700326
126,888,-206.9019296684853
127,891,-12.06644420405621
128,905,-1046.6568013746773
129,912,-12.176646627137757
130,913,-207.1691627226885
131,921,-207.28958113666522
