,match,profit
0,821,-3858.75
1,981,-3858.75
2,1033,-3858.75
3,1173,-3858.75
4,1277,-3858.75
5,1457,-3858.75
6,1575,-3858.75
7,1629,-3858.75
8,2047,-3858.75
9,2161,-3858.75
10,2206,-3858.75
11,2852,-3858.75
12,2991,-3858.75
13,3006,-3858.75
14,3074,-3858.75
15,3294,-3858.75
16,3373,-3858.75
17,3651,-3858.75
18,3675,-3858.75
19,3837,-3858.75
20,3908,-3858.75
21,3974,-3858.75
22,4606,-3858.75
23,4759,-3858.75
24,4916,-3858.75
25,4979,-3858.75
26,5073,-3858.75
27,5402,-3858.75
28,5650,-3858.75
29,5702,-3858.75
30,5862,-3858.75
31,6060,-3858.75
32,6224,-3858.75
33,6285,-3858.75
34,6441,-3858.75
35,6905,-3858.75
36,7002,-3858.75
37,7371,-3858.75
38,7831,-3858.75
39,7963,-3858.75
40,7965,-3858.75
41,8571,-3858.75
42,9003,-3858.75
43,9056,-3858.75
44,9128,-3858.75
45,9131,-3858.75
46,9257,-3858.75
47,9264,-3858.75
48,9506,-3858.75
49,9523,-3858.75
50,9559,-3858.75
51,9564,-3858.75
52,9593,-3858.75
53,10304,-3858.75
54,10433,-3858.75
55,10539,-3858.75
56,10708,-3858.75
57,10726,-3858.75
58,11012,-3858.75
59,11063,-3858.75
60,11137,-3858.75
61,12118,-3858.75
62,12187,-3858.75
63,12401,-3858.75
64,12515,-3858.75
65,12556,-3858.75
66,12633,-3858.75
67,12694,-3858.75
68,12773,-3858.75
69,12820,-3858.75
70,13192,-3858.75
71,13217,-3858.75
72,13257,-3858.75
73,13583,-3858.75
74,13651,-3858.75
75,13877,-3858.75
76,14051,-3858.75
77,14522,-3858.75
78,14684,-3858.75
79,14812,-3858.75
80,15294,-3858.75
81,15412,-3858.75
82,15429,-3858.75
83,15475,-3858.75
84,15572,-3858.75
85,15574,-3858.75
86,15664,-3858.75
87,16329,-3858.75
88,16358,-3858.75
89,16368,-3858.75
90,16486,-3858.75
91,16564,-3858.75
92,16725,-3858.75
93,16886,-3858.75
94,14400,-3051.0
95,14458,-3051.0
96,14461,-3051.0
97,14538,-3051.0
98,15071,-3051.0
99,15151,-3051.0
100,15186,-3051.0
101,15233,-3051.0
102,15344,-3051.0
103,15545,-3051.0
104,15654,-3051.0
105,15842,-3051.0
106,15882,-3051.0
107,15942,-3051.0
108,15990,-3051.0
109,16128,-3051.0
110,16184,-3051.0
111,16541,-3051.0
112,16914,-3051.0
113,17047,-3051.0
114,17053,-3051.0
115,17147,-3051.0
116,17221,-3051.0
117,17278,-3051.0
118,17432,-3051.0
119,791,-2713.0
120,844,-2713.0
121,861,-2713.0
122,1004,-2713.0
123,1012,-2713.0
124,1088,-2713.0
125,1152,-2713.0
126,1236,-2713.0
127,1433,-2713.0
128,1515,-2713.0
129,1555,-2713.0
130,1595,-2713.0
131,1665,-2713.0
132,1742,-2713.0
133,1878,-2713.0
134,1968,-2713.0
135,2104,-2713.0
136,2256,-2713.0
137,2282,-2713.0
138,2313,-2713.0
139,2509,-2713.0
140,2532,-2713.0
141,2630,-2713.0
142,2634,-2713.0
143,2917,-2713.0
144,2951,-2713.0
145,2954,-2713.0
146,3217,-2713.0
147,3649,-2713.0
148,3729,-2713.0
149,3891,-2713.0
150,3903,-2713.0
151,3930,-2713.0
152,4062,-2713.0
153,4303,-2713.0
154,4345,-2713.0
155,4454,-2713.0
156,4605,-2713.0
157,4615,-2713.0
