,0,1,2
strategy,traditional,dynamic,dutch_auction_with_refund
total,-1001984.8005702288,-1869800.2434672173,-1392900.6544168505
min,-19569.290173473633,-3858.75,-1394.310388624006
max,-49.0,-49.0,-1349.396899476037
mean,-1001.9848005702288,-1957.9060141017983,-1392.9006544168506
std,1683.0307097587179,843.1764434195378,6.525278536239208
p_25,-2147.9086667266847,-2344.5,-1394.3103886239994
median,-49.0,-1854.0,-1394.3103886239994
p_75,-49.0,-1347.0,-1394.3103886239994
