,0,1,2
strategy,traditional,dynamic,dutch_auction_with_refund
total,-766377.3257269434,-1504053.2184320914,-998295.514680236
min,-11615.50028620019,-3858.75,-999.4135895341919
max,-49.0,-49.0,-965.1474661064309
mean,-766.3773257269435,-1573.2774251381709,-998.295514680236
std,1270.5665818491443,779.7201759159595,5.074545707071114
p_25,-1584.2471248509482,-1930.0,-999.4135895341906
median,-49.0,-1389.0,-999.4135895341906
p_75,-49.0,-1065.0,-999.4135895341901
