,0,1,2
strategy,traditional,dynamic,dutch_auction_with_refund
total,717377.3257269434,-57806.53156790862,-1118.0748539539625
min,1370.3994222980477,-3051.0,-81.6773085453724
max,11566.50028620019,1092.3352173944859,-0.4283682424786548
mean,2344.370345512887,-1111.6640686136273,-22.36149707907925
std,1208.8609901343257,837.4617084023533,18.811531970396125
p_25,1591.3593957456337,-1561.5,-26.9495784231147
median,1895.5793905899786,-1190.5,-19.759556116041267
p_75,2718.6332268764463,-947.0,-7.793790510691679
