,0,1,2
strategy,traditional,dynamic,dutch_auction_with_refund
total,952984.800570229,-79340.25653278279,-1409.7342071484863
min,1927.3792318011867,-3858.75,-118.49920249597244
max,19520.290173473633,9396.805544696294,-2.3362881005027702
mean,3104.185018144068,-1555.6913045643685,-29.994344832946517
std,1596.546822942932,1866.6518520512716,23.25909359070755
p_25,2190.296745368082,-2243.0,-32.61737352218688
median,2619.520447097612,-1797.0,-24.978752364614593
p_75,3430.7197772346335,-1230.5,-17.67238379332275
