,0,1,2
strategy,traditional,dynamic,dutch_auction_with_refund
total,547037.4648292838,-38713.98791662076,-1326.1560158655857
min,888.3443592082941,-4688.75,-197.33911507469054
max,12051.958355146724,2844.4611236516034,-0.1817423433890326
mean,1731.131217814189,-967.8496979155191,-32.345268679648434
std,1092.1175831269227,1072.7623232686717,36.624786529332084
p_25,1072.1627067476106,-1239.25,-42.56005078293913
median,1465.4786251708688,-985.0,-21.362248948694287
p_75,1921.8810836224006,-592.75,-14.360807972802832
