,0,1,2
strategy,traditional,dynamic,dutch_auction_with_refund
total,-408854.8961648401,-904368.0542086633,-497618.2551954458
min,-7615.615518879525,-3858.75,-500.0858084855445
max,-49.0,-49.0,-451.4307906008053
mean,-408.8548961648401,-958.0170065769738,-497.6182551954458
std,679.3909854083944,598.7992582562046,8.284993475005301
p_25,-686.3795119827097,-1156.0,-500.08580848553333
median,-49.0,-779.0,-500.0858084855329
p_75,-49.0,-559.0,-500.0858084855329
