,0,1,2
strategy,traditional,dynamic,dutch_auction_with_refund
total,-580136.0782690208,-1350807.7324357394,-886748.7186665898
min,-6723.909411604371,-3858.75,-888.3895033794042
max,-49.0,-49.0,-843.1012922042997
mean,-580.1360782690208,-1398.3516898920698,-886.7487186665899
std,941.7497174828626,701.6946521171762,6.838914073085386
p_25,-1270.9756110148141,-1645.5,-888.389503379395
median,-49.0,-1248.0,-888.389503379395
p_75,-49.0,-945.0,-888.389503379395
