,0,1,2
strategy,traditional,dynamic,dutch_auction_with_refund
total,816456.5021567252,-51602.38365992196,-967.8876964246522
min,1799.1286075455678,-6076.0,-137.2040078399691
max,11740.35845434725,3343.391499467296,-1.7857953783318408
mean,2854.743014534004,-1121.7909491287382,-22.509016195922143
std,1333.2156799999004,1466.1101056667305,24.168310458447838
p_25,2038.2863626810235,-1805.625,-28.015873607888466
median,2349.5032757401013,-1383.4859883448948,-16.595494920044985
p_75,3175.32195228364,-74.53673755302322,-7.510128528905739
