,0,1,2
strategy,traditional,dynamic,dutch_auction_with_refund
total,-865456.502156725,-1912455.116340078,-1292614.4596280926
min,-11789.35845434725,-15435.0,-1293.5823473245327
max,-49.0,-49.0,-1254.4574893605225
mean,-865.456502156725,-1975.676773078593,-1292.6144596280926
std,1473.949454498524,1072.8739052416797,5.0158451820349805
p_25,-1944.6719169749483,-2308.5,-1293.582347324517
median,-49.0,-1731.0,-1293.582347324517
p_75,-49.0,-1368.0,-1293.582347324517
