,0,1,2
strategy,traditional,dynamic,dutch_auction_with_refund
total,-756923.8952293096,-1660086.979243151,-1154274.1010979018
min,-11675.934333243184,-3858.75,-1156.0161708647543
max,-49.0,-49.0,-1104.2760557509223
mean,-756.9238952293096,-1747.4599781506852,-1154.2741010979018
std,1298.360811412915,769.3538997737144,7.657924105296118
p_25,-1711.2999449380368,-2059.0,-1156.0161708647502
median,-49.0,-1563.0,-1156.0161708647502
p_75,-49.0,-1198.0,-1156.0161708647502
