,0,1,2
strategy,traditional,dynamic,dutch_auction_with_refund
total,-841230.9827436535,-1747159.390299636,-1227915.093942665
min,-14377.65262765626,-15435.0,-1228.8276723523704
max,-49.0,-49.0,-1193.2018290752394
mean,-841.2309827436535,-1833.3256981108457,-1227.915093942665
std,1397.457864057421,1036.2391182269303,4.444973327689097
p_25,-1823.5077653600765,-2052.0,-1228.8276723523577
median,-49.0,-1622.0,-1228.8276723523577
p_75,-49.0,-1298.0,-1228.8276723523577
