,0,1,2
strategy,traditional,dynamic,dutch_auction_with_refund
total,359854.8961648401,-56327.69579133669,-2467.553290087525
min,497.63496551808987,-14289.25,-1079.5806815359679
max,7566.615518879525,4657.608089264617,-0.2344524840819986
mean,1142.396495761397,-1043.1054776173462,-52.50113383164947
std,755.8673877700326,2060.110496905959,156.45454618136998
p_25,678.0277111698443,-964.875,-32.99267111465332
median,909.5152783630286,-762.25,-16.475289580783965
p_75,1359.7315860072872,-555.25,-7.720309833687736
