,0,1,2
strategy,traditional,dynamic,dutch_auction_with_refund
total,-596037.4648292838,-1159453.012083379,-692203.3203347066
min,-12100.958355146724,-3858.75,-693.5294763505999
max,-49.0,-49.0,-653.4070844680651
mean,-596.0374648292837,-1200.2619172705788,-692.2033203347065
std,1012.246720128819,698.7869118539343,5.777111399628725
p_25,-1083.41016817322,-1446.0,-693.529476350572
median,-49.0,-1028.0,-693.529476350572
p_75,-49.0,-744.0,-693.529476350572
