,0,1,2
strategy,traditional,dynamic,dutch_auction_with_refund
total,531136.0782690209,-55121.01756426056,-1640.784712805513
min,1101.5390088675044,-6571.75,-254.56532193356747
max,6674.909411604371,515.0456449969238,-0.044421126217685014
mean,1863.6353623474417,-1198.2829905274034,-35.66923288707637
std,792.8498150683394,1221.587595453254,50.167443266853915
p_25,1347.5240439909337,-1557.0399761123972,-38.71806553655662
median,1596.695416377877,-1171.0,-20.25858090681163
p_75,2133.8504742416694,-840.0,-10.34139923626799
