,0,1,2
strategy,traditional,dynamic,dutch_auction_with_refund
total,707923.8952293096,-68421.27075684897,-1742.0697668482844
min,1538.0642420253105,-7717.5,-275.4725965861728
max,11626.934333243184,11779.154313193092,-0.04537626203045875
mean,2466.633781286793,-1425.4431407676868,-34.158230722515384
std,1239.180412937235,2553.9002336015433,46.556199690133134
p_25,1745.644618796086,-1959.75,-35.59169585609209
median,2063.0637631018435,-1553.5,-19.654439064513554
p_75,2623.9586451637106,-1194.5,-12.889538832631047
