,0,1,2
strategy,traditional,dynamic,dutch_auction_with_refund
total,792230.9827436536,-56732.60970036409,-912.5784096934296
min,1640.4517365940656,-4748.0,-112.43291355421184
max,14328.65262765626,15122.337749035954,-3.5136707409462815
mean,2555.583815302108,-1112.404111771845,-21.22275371380069
std,1339.120720610668,2768.4150943492004,19.448436388534965
p_25,1831.3327511958191,-1999.5,-23.125515916321433
median,2151.378418251182,-1520.0,-15.01816523810453
p_75,2673.579956321921,-1181.0,-11.393804968675454
